bedroom,bathroom,floors,parking,roadsize(feet),Road type,Area(sq ft),Price
0,1,3,0,20,5,2566.87,36000000
4,4,2.5,1,13,3,1026.75,18000000
4,4,3,0,13,3,855.62,15000000
7,7,2,3,15,1,2187,57000000
7,7,2.5,3,13,1,1540.12,24500000
5,5,4,4,13,4,2622.5,60000000
0,1,3,0,12,3,1090.92,11500000
6,6,3,1,10,3,3533.75,16500000
2,2,3,1,12,3,1283.43,21500000
0,1,3,0,0,5,1133.7,22500000
2,2,1,2,10,3,0,13000000
0,1,3,0,0,5,1240.65,15000000
3,3,3,1,13,3,1391.25,16000000
0,1,3,0,13,5,1197.87,19200000
0,1,2,0,13,3,546.75,12500000
3,3,3,2,8,3,729,22000000
6,6,3,1,15,1,2258,24000000
0,1,3,0,12,1,729,28000000
0,1,3,0,13,5,1197.87,23000000
0,1,3,0,13,5,1112.31,14000000
5,5,3,1,13,5,1048.14,18000000
5,5,2.5,1,13,1,1262.04,26500000
2,2,2,0,5,3,546.75,6500000
6,6,3,0,22,1,1625.68,35200000
6,6,3,0,0,5,1458,67500000
0,1,3,0,15,1,1112.31,23500000
4,4,3,2,13,3,1048.14,24500000
4,4,3,1,13,5,1026.75,21000000
0,1,3,0,14,5,1197.87,19500000
0,1,3,1,12,3,729,26000000
4,4,1,4,14,1,1369,10500000
0,1,3,0,12,5,1197.87,14500000
5,5,3,0,20,5,1283.43,20000000
7,7,2.5,1,10,1,1711.25,39000000
5,5,3,1,14,4,1540.12,39900000
4,4,3,3,18,3,1304.82,30000000
0,1,3,0,0,5,911.25,52500000
0,1,3,0,13,3,1197.87,19500000
4,4,3,0,12,5,1822.5,70000000
0,1,3,0,20,5,1112.31,16000000
0,1,3,0,16,1,1112.31,21500000
0,1,3,0,20,5,1625.68,29000000
8,8,5,0,13,2,0,25000000
0,1,3,0,10,5,1026.75,12000000
6,6,3,1,15,1,729,24000000
0,1,3,0,12,5,1369,23500000
10,10,4,1,14,1,911.25,29000000
5,5,2,2,14,5,729,22500000
2,2,1.5,1,13,3,983.96,11500000
0,1,3,0,13,5,1540.12,36500000
