bedroom,bathroom,floors,parking,location,dhur,Aana,Paisa,Daam,roadsize(feet),Road type,Years ago,Area(sq ft),Price
0,0,N/A,0,"Chyasingdol, Pasikot, Kathmandu",0,7,2,0,20,Soil Stabilized,2,2566.87,36000000
4,3,2.5,1,"Nearby, Buddha party palace, Imadol, Lalitpur",0,3,0,0,13,Gravelled,2,1026.75,18000000
4,3,3,0,"Nayabasti, Imadol, Lalitpur",0,2,2,0,13,Gravelled,2,855.62,15000000
7,5,2,3,"Rudreshwor, Budhanilkantha, Kathmandu",12,,,,15,Blacktopped,1,2187,57000000
7,3,2.5,3,"Bafal, Bafal, Kathmandu",0,4,2,0,13,Blacktopped,1,1540.12,24500000
5,6,4,4,"Na, Baluwatar, Kathmandu",5,5,,,13,Paved,2,2622.5,60000000
0,0,N/A,0,"Dadhikot, Dadikot, Bhaktapur",0,3,0,3,12,Gravelled,2,1090.92,11500000
6,3,3,1,"Yalambar marg, Dharan, Dharan",10,5,,,10,Gravelled,0.833333333,3533.75,16500000
2,4,3,1,"Mahalaxmi nagarpalika pachhadi ko road najik, Mahalaxmi Nagarpalika, Lalitpur",0,3,3,0,12,Gravelled,1,1283.43,21500000
0,0,N/A,0,"Imadol, Imadol, Lalitpur",0,3,1,1,0,Soil Stabilized,0.916666667,1133.7,22500000
2,1,1,2,"Birendrachowk , kadaghari, Kadaghari, Kathmandu",,,,,10,Gravelled,2,0,13000000
0,0,N/A,0,"Tikathali, Tikathali, Lalitpur",0,3,2,2,0,Soil Stabilized,0.75,1240.65,15000000
3,3,3,1,"Sundarbasti, Budhanilkantha, Budhanilkantha, Kathmandu",2,3,,,13,Gravelled,1,1391.25,16000000
0,0,N/A,0,"suncity, Pepsicola, Kathmandu",0,3,2,0,13,Soil Stabilized,1,1197.87,19200000
0,0,2,0,"Harisiddhi, Harisiddhi, Lalitpur",3,,,,13,Gravelled,2,546.75,12500000
3,3,3,2,"Kapan height, Kapan, Kathmandu",4,,,,8,Gravelled,0.333333333,729,22000000
6,6,3,1,"Na, Baniyatar, Kathmandu",3,5,,,15,Blacktopped,2,2258,24000000
0,0,N/A,0,"Manamaiju, Gongabu, Kathmandu, Tarkeshwor, Kathmandu",4,,,,12,Blacktopped,2,729,28000000
0,0,N/A,0,"Imadol, Imadol, Lalitpur",0,3,2,0,13,Soil Stabilized,1,1197.87,23000000
0,0,N/A,0,"Imadol, Imadol, Lalitpur",0,3,1,0,13,Soil Stabilized,0.75,1112.31,14000000
5,3,3,1,"Samabesi Height, Changunarayan, Bhaktapur",0,3,0,1,13,Soil Stabilized,0.25,1048.14,18000000
5,3,2.5,1,"Nayabasti, Boudha, Boudha, Kathmandu",0,3,2,3,13,Blacktopped,1,1262.04,26500000
2,1,2,0,"Changathali, Imadol, Lalitpur",3,,,,5,Gravelled,2,546.75,6500000
6,3,3,0,"Near New Colony, Sukedhara, Kathmandu",0,4,3,0,22,Blacktopped,1,1625.68,35200000
6,0,N/A,0,"Taulung, Budhanilkantha, Kathmandu",8,,,,0,Soil Stabilized,0.166666667,1458,67500000
0,0,N/A,0,"Basundhara, Basundhara, Kathmandu",0,3,1,0,15,Blacktopped,2,1112.31,23500000
4,4,3,2,"Sital Height, Imadol, Imadol, Lalitpur",0,3,0,1,13,Gravelled,2,1048.14,24500000
4,4,3,1,"Sital Height, Imadol, Imadol, Lalitpur",0,3,0,0,13,Soil Stabilized,0.666666667,1026.75,21000000
0,0,N/A,0,"lubhu, Lubhu, Lalitpur",0,3,2,0,14,Soil Stabilized,1,1197.87,19500000
0,0,3,1,"Tokha, Kathmandu, Tokha, Kathmandu",4,,,,12,Gravelled,2,729,26000000
4,1,1,4,"Lolang height, Tarakeshwar, Kathmandu",0,4,0,0,14,Blacktopped,1,1369,10500000
0,0,N/A,0,"Sirutar, Sirutar, Bhaktapur",0,3,2,0,12,Soil Stabilized,0.75,1197.87,14500000
5,3,3,0,"Syuchatar, Syuchatar, Kathmandu",0,3,3,0,20,Soil Stabilized,3,1283.43,20000000
7,3,2.5,1,"Chandol, Baluwatar, Kathmandu",0,5,0,0,10,Blacktopped,2,1711.25,39000000
5,4,3,1,"Budhanilkantha, Chapali, Kathmandu",0,4,2,0,14,Paved,2,1540.12,39900000
4,3,3,3,"Bhaisipati, Bhaisepati, Lalitpur",0,3,3,1,18,Gravelled,1,1304.82,30000000
0,0,3,0,"Buddhanagar, Baneshwor, Kathmandu",5,,,,0,Soil Stabilized,2,911.25,52500000
0,0,N/A,0,"Bafal, Bafal, Kathmandu",0,3,2,0,13,Gravelled,1,1197.87,19500000
4,5,3,0,"Banasthali, Banasthali, Kathmandu",10,,,,12,Soil Stabilized,2,1822.5,70000000
0,0,N/A,0,"Kadaghari, Kadaghari, Kathmandu",0,3,1,0,20,Soil Stabilized,0.666666667,1112.31,16000000
0,0,N/A,0,"Bhangal, Kapan, Kathmandu",0,3,1,0,16,Blacktopped,2,1112.31,21500000
0,0,N/A,0,"Dhapa Height, Lalitpur, Lalitpur",0,4,3,0,20,Soil Stabilized,0.916666667,1625.68,29000000
8,4,5,0,"Thulo bharyang, Thulo Bharyang, Kathmandu",,,,,13,Concrete,2,0,25000000
0,0,N/A,0,"Sundarbasti, Kapan, Bhangal, Kathmandu",0,3,0,0,10,Soil Stabilized,1,1026.75,12000000
6,6,3,1,"NA, Bhangal, Kathmandu",4,,,,15,Blacktopped,2,729,24000000
0,0,N/A,0,"Birendra chowk, Kadaghari, Kathmandu",0,4,0,0,12,Soil Stabilized,1,1369,23500000
10,4,4,1,"Khadka gaun, LRI marg kalanki-14  Kathmandu, Kalanki, Kathmandu",5,,,,14,Blacktopped,1,911.25,29000000
5,4,2,2,"Kalanki, Naikap, Kathmandu",4,,,,14,Soil Stabilized,1,729,22500000
2,1,1.5,1,"Nearby, Buddha party palace, Tikathali, Lalitpur",0,2,3,2,13,Gravelled,2,983.96,11500000
0,0,N/A,0,"Ganesh Chowk, Budhanilkantha, Kathmandu",0,4,2,0,13,Soil Stabilized,0.75,1540.12,36500000
4,3,2,0,"Shree tole, Basundhara, Kathmandu",3,1,,,15,Gravelled,2,889,23000000
5,2,2,3,"Sitapaila, Sitapaila, Kathmandu",0,3,2,0,13,Gravelled,1,1197.87,21000000
5,4,2.5,2,"Nearby Sun City Apartment, Pepsicola, Kathmandu",0,3,0,0,18,Gravelled,1,1026.75,25000000
0,0,3,1,"Jorpati, Jorpati, Kathmandu",2,5,,,10,Soil Stabilized,2,2075.75,14000000
3,3,3,1,"Basundhara, Basundhara, Kathmandu",0,2,3,0,12,Paved,2,941.18,19500000
5,3,2.5,1,"Buddha Colony, Imadol, Lalitpur",0,3,0,2,13,Gravelled,2,1069.53,17500000
5,6,3,1,"Na, Dhapasi, Kathmandu",3,5,,,13,Blacktopped,2,2258,25500000
5,5,3,5,"narayanthan, Budhanilkantha, Kathmandu",0,9,0,0,22,Soil Stabilized,1,3080.25,63000000
7,3,3,0,"Panauti, Panauti, Kavre",3,,,,24,Soil Stabilized,2,546.75,9000000
0,0,N/A,0,"Lolang Height, Machha Pokhari, Kathmandu",0,3,1,0,0,Soil Stabilized,0.916666667,1112.31,20000000
10,0,4,0,"Kausaltar, Kausaltar, Bhaktapur",3,5,,,20,Soil Stabilized,2,2258,19500000
8,2,2,2,"Sanobharayang, Sanobharyang, Kathmandu",4,5,,,14,Soil Stabilized,3,2440.25,22000000
0,0,N/A,0,"kalanki khadka gaun, Kalanki, Kathmandu",0,4,0,0,12,Soil Stabilized,1,1369,22500000
7,7,4,2,"Na, Mandikatar, Kathmandu",7,,,,15,Blacktopped,2,1275.75,40000000
0,0,N/A,0,"Tikathali, Tikathali, Lalitpur",0,3,3,0,0,Soil Stabilized,0.75,1283.43,14900000
2,1,1,1,"Imadol, Lalitpur, Imadol, Lalitpur",0,3,2,0,14,Blacktopped,1,1197.87,15000000
5,4,3,1,"Kalanki, Syuchatar, Kathmandu",3,,,,13,Gravelled,0.583333333,546.75,24800000
0,0,2,0,"Dhumbarahi Main chowk, Dhumbarahi, Kathmandu",0,4,5,0,20,Soil Stabilized,3,1796.8,55000000
0,0,N/A,0,"Kapan, Kapan, Kathmandu",4,,,,12,Paved,1,729,26000000
0,0,N/A,0,"Goldhunga-05, Goldhunga, Kathmandu",0,3,0,0,0,Soil Stabilized,0.916666667,1026.75,18500000
2,1,1,1,"Kapan kharibot shantinagar, Budhanilkantha, Kathmandu",3,1,,,13,Blacktopped,1,889,13000000
0,0,N/A,0,"darjeeling height, Suryabinayak, Bhaktapur",0,2,3,0,0,Soil Stabilized,1,941.18,12200000
4,4,2,4,"Balkumari, Balkumari, Lalitpur",0,10,1,0,20,Soil Stabilized,1,3508.06,47000000
5,3,3,3,"Hattigauda, Hattigauda, Kathmandu",0,6,2,0,13,Paved,3,2224.62,36500000
7,3,3,1,"Gandakbasti, Bafal, Kathmandu",0,4,0,0,10,Blacktopped,2,1369,31000000
3,2,N/A,1,"Gokul Awas, Bhaisepati, Lalitpur",0,4,1,0,15,Soil Stabilized,3,1454.56,29000000
0,0,3,0,"Budhanilkantha, Muhanpokhari, Budhanilkantha, Kathmandu",0,5,0,3,20,Gravelled,2,1775.42,29000000
10,5,4,1,"Suryadarsan height, Tokha, Kathmandu",0,5,0,0,20,Blacktopped,1,1711.25,30500000
0,0,N/A,0,"Duwakot, Duwakot, Bhaktapur",0,3,0,0,6,Soil Stabilized,0.75,1026.75,12000000
0,0,N/A,0,"manamaiju, Manamaiju, Kathmandu",0,3,1,0,20,Blacktopped,2,1112.31,22000000
0,0,2.5,0,"Tarkeshwor, Tarkeshwor, Kathmandu",0,5,0,0,13,Blacktopped,0.916666667,1711.25,35000000
0,0,N/A,0,"Sirutaar, Balkot, Bhaktapur",0,3,0,0,13,Soil Stabilized,1,1026.75,17000000
0,0,N/A,0,"Duwakot, Duwakot, Bhaktapur",0,3,1,2,12,Soil Stabilized,1,1155.09,15000000
5,0,3,0,"Kadaghari, Kadaghari, Kathmandu",0,4,0,0,12,Blacktopped,2,1369,29000000
0,0,N/A,0,"Hattigauda, Hattigauda, Kathmandu",3,,,,16,Blacktopped,2,546.75,18000000
